,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,0.4986712,0.49866843,0.49866828,0.49871367,0.49866828,0.4986725,0.49866828,0.49942335,0.4986706,0.49870917,0.50099456,0.500565,0.49866828,0.49869505,0.49868453,0.49893185,0.49867213,0.49866828,0.49889997,0.49866828,0.49893498,0.49866828,0.4987545,0.49867326,0.4987473,0.49866828,0.49866828,0.49866828,0.49866915,0.49866828,0.4992841,0.49866828,0.49866828,0.49866828,0.49894887,0.49890944,0.49866828,0.49919972,0.49867672,0.49866828,0.49866828,0.49866828,0.49875596,0.49866927,0.4986809
1,0.49782392,0.49781194,0.49790737,0.49793318,0.49781194,0.49781194,0.49781194,0.49781194,0.49846393,0.49781194,0.4992351,0.52001876,0.49781194,0.49795642,0.49781194,0.49781194,0.497924,0.49781194,0.49993992,0.49792585,0.50020343,0.49781194,0.49818537,0.5102363,0.49850947,0.49781194,0.49781194,0.49781194,0.49781397,0.49781194,0.49781194,0.497812,0.49781194,0.4984578,0.49913105,0.4978143,0.49781194,0.49781194,0.49783343,0.49834135,0.49781194,0.49781194,0.49857762,0.49781194,0.49800026
2,0.49875322,0.49875346,0.49875322,0.49875322,0.49876887,0.49875322,0.49875352,0.49875528,0.49875322,0.49875653,0.4995874,0.49875322,0.49875322,0.49875322,0.4998335,0.4987879,0.49879572,0.49875322,0.49875322,0.49875322,0.49875322,0.49875328,0.49875352,0.49875322,0.49875322,0.49907038,0.4987674,0.49875322,0.49875322,0.49876696,0.4987623,0.49875328,0.49875528,0.49875322,0.49875322,0.49875322,0.49897218,0.49875408,0.49875322,0.49875322,0.49876913,0.49875554,0.49875402,0.49875382,0.50015545
3,0.49824074,0.49824074,0.49824092,0.49824074,0.49842554,0.49824074,0.49824253,0.4982454,0.49824074,0.49824074,0.5039709,0.49824074,0.49824074,0.49824074,0.50560474,0.49827915,0.4985348,0.49824074,0.49827892,0.49824074,0.49824074,0.49824178,0.49824935,0.49824074,0.49824074,0.50033575,0.49824074,0.49824074,0.49824083,0.49824637,0.49827507,0.49824074,0.49825177,0.49825746,0.49826148,0.49824074,0.49973616,0.49824074,0.49824074,0.49824074,0.49825472,0.49824074,0.49826172,0.49824455,0.5079305
4,0.49832237,0.4983227,0.49832237,0.49832237,0.49832237,0.49832237,0.49832445,0.4986035,0.49839202,0.500363,0.49832237,0.49832237,0.49836472,0.49876228,0.5019995,0.49832237,0.49832237,0.49835715,0.49832237,0.49832237,0.4986369,0.49832237,0.49832237,0.4996135,0.49832237,0.50566745,0.49832237,0.49832237,0.4983321,0.49832237,0.49856412,0.49832237,0.49883294,0.49860978,0.49832237,0.49845,0.49832237,0.49851462,0.49832237,0.49832237,0.49832237,0.5047898,0.49832237,0.49832457,0.4983442
5,0.49587992,0.49820694,0.49586946,0.49586946,0.49586946,0.49586946,0.495871,0.49586946,0.49586946,0.4958848,0.4958808,0.49651176,0.49587163,0.49588624,0.49586946,0.49586946,0.49586946,0.49586946,0.49586946,0.4958705,0.53929853,0.49586946,0.49586946,0.49586946,0.49586946,0.49586946,0.5518952,0.49586946,0.49587688,0.49586946,0.49586946,0.49586946,0.49587533,0.49586946,0.50003237,0.49588695,0.49586946,0.49586946,0.49596822,0.49586946,0.52275586,0.49593773,0.49586946,0.4958721,0.49590865
6,0.49882364,0.4988224,0.49882236,0.49906394,0.49882236,0.49884918,0.49882236,0.49882236,0.49882236,0.49882236,0.49882236,0.49929062,0.49882236,0.49882236,0.49882236,0.49882787,0.49883896,0.49885693,0.4988459,0.4988308,0.49882236,0.49882242,0.49882397,0.49882323,0.49882564,0.49882236,0.49882236,0.49883202,0.49882236,0.49882632,0.49882236,0.49882236,0.49882236,0.49882236,0.49882537,0.49882728,0.49882236,0.4988224,0.4988641,0.49882236,0.498823,0.49882236,0.49882507,0.49882236,0.49882236
7,0.49876148,0.49876186,0.49876148,0.49876148,0.49876148,0.498768,0.49876168,0.49876148,0.49876148,0.49942067,0.49876148,0.49876148,0.49876148,0.49876148,0.49999127,0.49930173,0.49876148,0.49876168,0.49876148,0.49876148,0.49876148,0.49876148,0.49876148,0.49876148,0.49876148,0.49876192,0.49898112,0.4995336,0.49876148,0.49896845,0.49876148,0.49876148,0.49876148,0.49876148,0.49876148,0.49876386,0.49876148,0.4987619,0.49876148,0.49876148,0.49876326,0.49876148,0.4987618,0.49876148,0.49876148
8,0.49868363,0.49868363,0.49875912,0.49868363,0.49868363,0.49868363,0.49868363,0.49890184,0.49938342,0.49868363,0.49868363,0.49911743,0.4986871,0.5005195,0.49868363,0.49868363,0.49868405,0.4986842,0.49875134,0.4989088,0.49871966,0.49868363,0.49869415,0.498841,0.4987202,0.49868363,0.49868363,0.49868363,0.49868366,0.49868363,0.4987754,0.49868363,0.5007796,0.49869165,0.49869573,0.49868363,0.499469,0.49868363,0.49868363,0.49868482,0.49868363,0.4988941,0.49870917,0.49879584,0.49868363
9,0.49839243,0.49838975,0.49839047,0.49843422,0.5124199,0.49839354,0.49838975,0.49838975,0.49838975,0.49838975,0.49838975,0.49969447,0.49838975,0.49838975,0.49838975,0.49838975,0.49838975,0.49852377,0.49841475,0.49838975,0.49838975,0.49855518,0.49838975,0.49839202,0.498395,0.4984166,0.49838975,0.49842262,0.49838975,0.49839956,0.5006092,0.49838993,0.49838975,0.50024927,0.49838975,0.49838975,0.49838975,0.49838975,0.49851042,0.49876437,0.49838975,0.49838975,0.49839246,0.49838975,0.49838975
