StationNum,MSE
0,0.0017995160816469825
1,0.004807309462683075
2,0.0008518637713351259
3,0.0026843306666466935
4,0.002208365768069765
5,0.002889062212003713
6,0.0031278612579103194
7,0.0032764351513193354
8,0.0020790211218931686
9,0.002246002165321563
10,0.0014830506476190477
11,0.0017498238614991168
12,0.002114219025137277
13,0.0007735076826719004
14,0.002103659643635819
15,0.0017582483721190975
16,0.0022440301094083306
17,0.003076471247767689
18,0.0013103529197970264
19,0.0020094361471659754
20,0.0019283416144541502
21,0.0010120075841746536
22,0.0011598311467126256
23,0.0027516091049190113
24,0.0019510241736304314
25,0.0013485294193520334
26,0.0018403564192054189
27,0.0019347299458062114
28,0.0032676419032320217
29,0.0018707305055907723
30,0.0016293891001789515
31,0.0014281142507506115
32,0.0021526597058359746
33,0.0012599753309421736
34,0.001311289888633045
35,0.0018300650951444022
36,0.0032923123348781347
37,0.0015961769435034409
38,0.0020813310482075747
39,0.0023485275206134196
40,0.0020611337409841275
41,0.0026355508800548545
42,0.001483537284499935
43,0.0020885346474939655
44,0.0031226377169425432
Average,0.0020884134360309296
