,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,0.029640706,0.020441525,0.022437386,0.021098997,0.020441525,0.020441525,0.020803442,0.020441525,0.024960913,0.023287,0.022515526,0.026224809,0.020463614,0.024321746,0.022673598,0.023393424,0.021261612,0.020441525,0.020441525,0.021292893,0.020441525,0.024960373,0.020441525,0.020441525,0.027049676,0.025158266,0.020441525,0.023109103,0.023812912,0.023569528,0.02094828,0.021199616,0.02329583,0.02100602,0.023019936,0.022983737,0.02076969,0.020441525,0.022769999,0.020807082,0.020441525,0.022389146,0.022480093,0.020441525,0.02055531
1,0.020005068,0.032963656,0.020005068,0.022931313,0.023402648,0.024945179,0.021718454,0.022392571,0.020005068,0.020005068,0.023307279,0.020005068,0.02103455,0.020249683,0.022236506,0.021221347,0.020294547,0.027925966,0.022985423,0.022003964,0.022959111,0.022518124,0.024496367,0.020005068,0.020005068,0.020005068,0.023111107,0.02021183,0.020005068,0.020005068,0.026963303,0.0215995,0.020005068,0.02424767,0.022304142,0.020005068,0.024441507,0.023676237,0.020469563,0.022151543,0.02008038,0.021335086,0.024012163,0.022565564,0.023182875
2,0.022626316,0.02061365,0.028184496,0.02467096,0.023771401,0.02061365,0.022070836,0.022867545,0.021458402,0.023236139,0.02061365,0.024092693,0.02522016,0.021215837,0.02277222,0.021367414,0.022198064,0.02061365,0.02061365,0.021584013,0.021783153,0.021289786,0.02061365,0.025504246,0.022861714,0.022794586,0.02213811,0.021439644,0.02108586,0.021190582,0.021593729,0.02061365,0.02061365,0.025025945,0.021947388,0.020829545,0.023704125,0.023074431,0.021321898,0.02061365,0.023213767,0.02061365,0.02061365,0.02304046,0.022074442
3,0.020696444,0.022984557,0.023998184,0.03242418,0.02197759,0.020051517,0.023038348,0.024133626,0.020051517,0.020051517,0.021862475,0.023257814,0.02189216,0.020051517,0.02381378,0.026259856,0.022674,0.02077049,0.026149806,0.021659832,0.020051517,0.023636732,0.020493688,0.023668667,0.022588262,0.020051517,0.020773504,0.020051517,0.020051517,0.020051517,0.022312552,0.020051517,0.020051517,0.022902617,0.021983286,0.020660019,0.021821734,0.021896021,0.022445414,0.023389684,0.022599325,0.02520728,0.020051517,0.021797527,0.023612298
4,0.020139182,0.023559539,0.023224251,0.022073675,0.02948055,0.025783917,0.020891214,0.023077156,0.021067463,0.020139182,0.02142383,0.021283071,0.023627002,0.020227296,0.024195472,0.020139182,0.020139182,0.02094144,0.022166114,0.025503132,0.024059542,0.020139182,0.024588715,0.023561502,0.022170207,0.021053556,0.028086063,0.020139182,0.020139182,0.020139182,0.02112951,0.020915288,0.020139182,0.02326178,0.02071872,0.020139182,0.025333958,0.024057448,0.020139182,0.020139182,0.026578838,0.021523818,0.02212123,0.0205054,0.020139182
5,0.020263433,0.025267348,0.020263433,0.020263433,0.025942994,0.031779587,0.021920914,0.02300344,0.02325872,0.020263433,0.025374057,0.020579282,0.020263433,0.020263433,0.022508517,0.020916969,0.020263433,0.02380184,0.023559922,0.023013037,0.02604896,0.020263433,0.024135536,0.020863766,0.020263433,0.020263433,0.025015153,0.02037923,0.020263433,0.020263433,0.023023373,0.023665387,0.023458969,0.021238854,0.020263433,0.020263433,0.024190981,0.020835754,0.020263433,0.02446516,0.02416359,0.020263433,0.022846913,0.020263433,0.020263433
6,0.020581337,0.02195536,0.021652874,0.023235701,0.020978456,0.021877477,0.031586397,0.021335853,0.020223284,0.020907471,0.021040723,0.02179721,0.023687955,0.020223284,0.020223284,0.02046495,0.020588094,0.024885746,0.023133134,0.021572877,0.025910972,0.023158908,0.025981594,0.023964593,0.023048382,0.020458965,0.020223284,0.020223284,0.021546733,0.020755753,0.021412099,0.022845937,0.020799696,0.023771076,0.020223284,0.020223284,0.023631055,0.020424638,0.022963796,0.021544738,0.022869539,0.023660678,0.022452623,0.020223284,0.025730329
7,0.02032159,0.02274687,0.022543551,0.024458682,0.023286175,0.023069462,0.021439567,0.032846693,0.021346692,0.021022614,0.021436835,0.02032159,0.020966096,0.023177316,0.021550646,0.023939438,0.023763392,0.021994913,0.022681866,0.02032159,0.02032159,0.02032159,0.021757344,0.027713627,0.02032159,0.02032159,0.025645602,0.02032159,0.020800067,0.02113514,0.020414896,0.02032159,0.023865595,0.02032159,0.021539494,0.023079596,0.02414816,0.02032159,0.02032159,0.023511743,0.021714913,0.021668082,0.02032159,0.022798002,0.023756292
8,0.025253527,0.020681161,0.02152868,0.020681161,0.021634422,0.023738194,0.020681161,0.021724401,0.028268714,0.024656028,0.021990813,0.025429072,0.020681161,0.023401823,0.02213096,0.023674596,0.02256978,0.021096455,0.020681161,0.020681161,0.0217483,0.021352572,0.020681161,0.021434238,0.02285116,0.023829078,0.022010628,0.024319867,0.023004133,0.022982374,0.023212517,0.021471422,0.024656298,0.020681161,0.020681161,0.020681161,0.02233182,0.020681161,0.021719266,0.02350868,0.021951392,0.020681161,0.020982593,0.020681161,0.020681161
9,0.023459563,0.020593002,0.023212865,0.020593002,0.020593002,0.020593002,0.021289699,0.02130339,0.024550926,0.030709453,0.020593002,0.023089139,0.021145146,0.021875015,0.020593002,0.02095072,0.02546802,0.023074696,0.020593002,0.020593002,0.020619493,0.020593002,0.020593002,0.023295753,0.020593002,0.0238267,0.020593002,0.027406866,0.02719805,0.026270662,0.023133963,0.020593002,0.020792812,0.021429235,0.021259136,0.023704259,0.020593002,0.022380669,0.02387807,0.020593002,0.020593002,0.020593002,0.020593002,0.02340872,0.020593002
