StationNum,MAE
0,0.04017804650272596
1,0.0746350580348907
2,0.029100955633127427
3,0.055584235477918804
4,0.04884175196711222
5,0.055146552534891286
6,0.06289479540452311
7,0.05657078215482594
8,0.04609390992120944
9,0.05116361333314919
10,0.038739099756395605
11,0.04093289192595131
12,0.049989894757613236
13,0.03255413229639893
14,0.045385436715310624
15,0.04218986511007446
16,0.04791734027142181
17,0.06371918077031176
18,0.032460650068383355
19,0.04316065610602737
20,0.047172359825541986
21,0.03004615170000148
22,0.036381086923787685
23,0.05702720423615241
24,0.041384391555388776
25,0.033742787566586996
26,0.04361312958907668
27,0.047782410912447254
28,0.06407720232960584
29,0.04960904680596869
30,0.045468925990588084
31,0.034304572626655296
32,0.04404667149455601
33,0.0349517113938154
34,0.040475027066027826
35,0.044144484642078236
36,0.05907434052303723
37,0.03766638847886502
38,0.04905955961882357
39,0.04792587367957558
40,0.04532742892633427
41,0.048097698367875974
42,0.03914939741242026
43,0.049451383993852814
44,0.06316480509867266
Average,0.046453397544444414
