StationNum,MAE
0,0.034815390438211156
1,0.0255890178701116
2,0.04148968303445017
3,0.0357993368582648
4,0.032494525725839336
5,0.03472926896097448
6,0.02404173328782479
7,0.02866174781171212
8,0.034168537617916855
9,0.02421793116596103
10,0.034785793712258005
11,0.03114019256415364
12,0.03337401935404002
13,0.03869043342674968
14,0.027483892555990385
15,0.03551501756259002
16,0.02731557911728159
17,0.027273147866611235
18,0.029955949273731287
19,0.027313345916349485
20,0.02888012703126773
21,0.03256662760163017
22,0.02696671645382603
23,0.03185291858081858
24,0.029118175852489186
25,0.027675925485136338
26,0.029505333383730407
27,0.02530198363347744
28,0.0240941615311601
29,0.023912671165419893
30,0.03017589573971648
31,0.03525930878295843
32,0.030242040505418826
33,0.044832448341207025
34,0.028938150520525997
35,0.03488507055629222
36,0.029220788519726034
37,0.047017936042683506
38,0.03222518643979379
39,0.03556678952813758
40,0.03184568521362635
41,0.035181631281223154
42,0.03465934009401689
43,0.02945438518913256
44,0.028812551931983857
Average,0.03148991985614267
