StationNum,RMSE
0,0.047833319001388375
1,0.0864107177642712
2,0.03745476313707927
3,0.06119667703346965
4,0.05461417938385219
5,0.06353420860720134
6,0.06827476535173191
7,0.06704991847154064
8,0.0553924985171697
9,0.05829079290037626
10,0.04406082473361731
11,0.0480405759271972
12,0.05503032957362011
13,0.03754944970808911
14,0.054279878526225116
15,0.04782559407417035
16,0.05713164717615223
17,0.06859457257774865
18,0.041466080502606494
19,0.05154165680167451
20,0.05502394413383366
21,0.037779722655409825
22,0.04063354098457332
23,0.06384216919121619
24,0.04988887570529507
25,0.04362199861830489
26,0.051961338938320195
27,0.05399140300725098
28,0.07225990429716508
29,0.053472274231987076
30,0.048748504041868056
31,0.044307404127770955
32,0.05288873090136226
33,0.041625685510332106
34,0.04271966282035274
35,0.04945733265117465
36,0.0670366909458682
37,0.049313942492216274
38,0.054419092818019134
39,0.05665467700954201
40,0.05251648488260074
41,0.05741343561494483
42,0.043475283937147224
43,0.054091839747867396
44,0.06966747669206537
Average,0.05457766208695911
