StationNum,SMAPE
0,62.527303161943834
1,49.417442632123745
2,34.58614269223467
3,80.1630539973154
4,44.804953536087275
5,41.938284177138975
6,37.083250346150926
7,39.6067641263818
8,56.44200641395039
9,34.23048119637887
10,91.84258996640705
11,50.64511050430638
12,56.65061292281614
13,92.23233405067776
14,42.65976330198018
15,58.06065046722224
16,32.42918971344864
17,29.96514497066637
18,82.77164105874229
19,67.28540224777049
20,68.08730224379099
21,88.15369052150156
22,73.15681573616158
23,53.44370057146387
24,58.62815601764236
25,111.1506597590487
26,46.22841965453415
27,41.63186536669354
28,36.577891763584525
29,43.802254549303214
30,53.17798487516448
31,103.2248214548916
32,69.52826795373628
33,107.55845664698336
34,90.71443664507149
35,60.845819493313336
36,41.01874379466435
37,68.83650824173431
38,58.60597373262848
39,44.3087176302295
40,67.3534661285455
41,68.4698038804961
42,77.44463667869009
43,65.88990753146639
44,50.67297654610042
Average,60.7522977533597
