StationNum,SMAPE
0,7.09412011471681
1,5.378021688135895
2,10.385643076072594
3,8.528373745870548
4,7.857206689709133
5,8.690319676565359
6,5.045493091390408
7,6.85883115554334
8,7.585554178604645
9,4.940004188811268
10,8.41017471349546
11,6.651827134665073
12,8.868942649146216
13,8.71135356343366
14,5.604737062405866
15,8.278957682525846
16,5.865439132300324
17,5.804520695963077
18,6.3839446990229085
19,6.535812180145944
20,5.8869930056741975
21,7.09465734124801
22,6.134764092791115
23,8.116197320572427
24,6.1310110020771065
25,5.7281394173581655
26,6.983253017712592
27,5.162952701496959
28,4.926672449247586
29,4.884824275010103
30,6.308282377853377
31,7.79066670170669
32,6.941586484088575
33,10.326478560204542
34,6.197663555778843
35,7.557258073154973
36,7.004244258667355
37,9.515499975051306
38,6.436414334964249
39,7.73507754350441
40,6.899649950740623
41,6.618993575325059
42,7.116269135208762
43,6.836717903136881
44,6.617280926961584
Average,6.987351668845775
