StationNum,RMSE
0,0.04844036580099537
1,0.03772597748767479
2,0.057138398924200993
3,0.048912533898681464
4,0.043704334552767884
5,0.04732314844386372
6,0.034146110949683395
7,0.03905560273958345
8,0.04739779148771284
9,0.03451076226747291
10,0.046977885655540265
11,0.043899112632208026
12,0.04502498427631173
13,0.05322467362994097
14,0.038639980340879995
15,0.04871150993568749
16,0.03767598987656091
17,0.03923219957382592
18,0.04088866122825543
19,0.037395880818462776
20,0.03900568207352747
21,0.04539576592110464
22,0.037221964418329194
23,0.04379083099907103
24,0.0392742474249323
25,0.039251279681434485
26,0.03976123885772102
27,0.03616015980948879
28,0.034226984792416155
29,0.03395529079447614
30,0.04349335014850415
31,0.04755360150998603
32,0.0407937802192587
33,0.06111734353147749
34,0.040713213583298845
35,0.04835024443210153
36,0.03942874293090593
37,0.06413803113751124
38,0.0464292915798992
39,0.048030934283540945
40,0.043424726641469326
41,0.04621100626743909
42,0.04819465104750279
43,0.04023841927847205
44,0.03908178535480447
Average,0.04395576772245776
