StationNum,MSE
0,0.002346469038934242
1,0.0014232493774005452
2,0.003264796631621133
3,0.002392435972389663
4,0.001910068858700261
5,0.0022394803786399613
6,0.001165956892988088
7,0.0015253401053521587
8,0.0022465506379127035
9,0.0011909927122820323
10,0.0022069217406650156
11,0.0019271320898952861
12,0.002027249209082118
13,0.0028328658830137333
14,0.0014930480807435924
15,0.0023728112002145813
16,0.00141948021317872
17,0.0015391654834005068
18,0.0016718826170390385
19,0.0013984519021886723
20,0.001521443234021102
21,0.0020607755635637256
22,0.0013854746351593648
23,0.0019176368795892004
24,0.0015424665107948016
25,0.0015406629566301919
26,0.0015809561155007438
27,0.0013075571574477686
28,0.0011714864879802868
29,0.0011529617729374357
30,0.0018916715071403854
31,0.0022613450165705463
32,0.0016641325045771826
33,0.003735329680344634
34,0.0016575657602793097
35,0.0023377461366439647
36,0.0015546257691114644
37,0.004113687038196361
38,0.002155679116611299
39,0.0023069706481498287
40,0.0018857068838863359
41,0.002135457100249295
42,0.0023227243895905616
43,0.0016191303860301107
44,0.001527385946519009
Average,0.0019321095160706593
