StationNum,MSE
0,0.05637125741405833
1,0.06647577473494515
2,0.19144209712042234
3,0.31938360284176676
4,0.04838206929046326
5,0.06247253597785626
6,0.05840205270231829
7,0.11388679788420257
8,0.10118117153424593
9,0.03387526434515137
10,0.06387164978664121
11,0.042406690554322855
12,0.08123374686532214
13,0.04349228862309908
14,0.03703528568084306
15,0.05393984631045745
16,0.06051318510567357
17,0.0687753427763651
18,0.052061368656223385
19,0.04866189430038375
20,0.08567888531511382
21,0.07537563492520187
22,0.09328012619184163
23,0.20801088103545518
24,0.06556856693806347
25,0.06547538525045647
26,0.048405031791514314
27,0.045363512277257496
28,0.03611724903351036
29,0.053312400119914866
30,0.05044476427305139
31,0.0804437056078756
32,0.05224367211473824
33,0.12690365614940843
34,0.056452258693198136
35,0.03880078213118496
36,0.06068556787837067
37,0.058298630953742214
38,0.05206126523413366
39,0.05734389577009589
40,0.05075116169057268
41,0.2022533751201264
42,0.1098897307048331
43,0.05925206982535027
44,0.05886769523745494
Average,0.07766986281704892
