StationNum,MAE
0,0.1746605197729609
1,0.18865393541050537
2,0.37377191383376834
3,0.5098852501220242
4,0.18719342217117693
5,0.20940338049632054
6,0.18560294181242656
7,0.27456274936919506
8,0.2769329692015336
9,0.13639644389546798
10,0.21822158244645432
11,0.17678486552232733
12,0.22765833876005878
13,0.16004346854847165
14,0.14418917744174845
15,0.20179971760014923
16,0.21807803811052853
17,0.19042263661087086
18,0.1909506790424096
19,0.1829329177223246
20,0.22741248622458196
21,0.20344000661197562
22,0.25533883418218073
23,0.39750182527624606
24,0.20130883691910886
25,0.19507252021979252
26,0.1834434972190718
27,0.15209104083859395
28,0.13757090664597205
29,0.18290982668098146
30,0.14912962406999927
31,0.21542477949183567
32,0.1956390939361242
33,0.2855689385158188
34,0.175459882441194
35,0.17054881236910532
36,0.2025263247197273
37,0.20977326222355405
38,0.16518034978447907
39,0.20396519781395073
40,0.19336649680695517
41,0.4195161782357482
42,0.2606905519075906
43,0.209822598061273
44,0.18792045677947256
Average,0.2179726061303568
