StationNum,RMSE
0,0.010261652976501136
1,0.007104863062447519
2,0.02378916347646737
3,0.04281551587860721
4,0.00832745067173723
5,0.019106566380881353
6,0.007260745053410928
7,0.016101485342056396
8,0.0270407889577277
9,0.024101141700863644
10,0.005713210113673496
11,0.008918724887900322
12,0.00793249757727171
13,0.008655246134699875
14,0.007797226073074727
15,0.015472739465969656
16,0.0075587323271166405
17,0.006301776935978379
18,0.008556514813210743
19,0.012474147479068382
20,0.006896309622367562
21,0.007623723620164403
22,0.00700125662326353
23,0.04893628289713451
24,0.008824875548937676
25,0.013708220128615507
26,0.006562893966886697
27,0.011056975920500646
28,0.008581724526724363
29,0.00851180075983953
30,0.008803706433340842
31,0.0074742466003105135
32,0.010665230728255686
33,0.011085158937884086
34,0.017281021233839587
35,0.01079196876756927
36,0.009486146951962206
37,0.011779485329314571
38,0.008526579382901361
39,0.04575648036781851
40,0.008034743052194976
41,0.009152624350080853
42,0.012933115989197679
43,0.010350902894115433
44,0.008651561251468508
Average,0.016528544489538523
