StationNum,MAE
0,0.007349327924529807
1,0.005602531294282686
2,0.0073764571246467785
3,0.01504066047698087
4,0.0054818726245937045
5,0.006200969204424866
6,0.005496110180358747
7,0.00628023490019364
8,0.008982313897325758
9,0.008828933413284895
10,0.0045464997023259126
11,0.006835308004781683
12,0.005256316376683985
13,0.006510640234877096
14,0.005889103067511944
15,0.008632521774266544
16,0.005809193400466738
17,0.004930472623073187
18,0.0064517647493441115
19,0.007107216620716953
20,0.005343848269313004
21,0.0056940964667606415
22,0.005387048540643719
23,0.012849292576488897
24,0.006761336364049129
25,0.00841419072499545
26,0.00490143773436704
27,0.006795968670105372
28,0.006501421750829042
29,0.006434915470559034
30,0.006300735756251499
31,0.005896451416409107
32,0.006506026777452844
33,0.006861961195393214
34,0.007949762593683402
35,0.00689354405416601
36,0.0043799486253857855
37,0.0068108621415389125
38,0.006471465086647054
39,0.007337898027157887
40,0.005750003739309034
41,0.006997878054868752
42,0.006802009523982288
43,0.006078616033301006
44,0.0064093607030945385
Average,0.006780856175364946
