Station,TCN,AGCRN,CLCRN,GWN,TCN-AGCRN,TCN-CLCRN,TCN-GWN
3,4.633713494529199,4.172050580382347,90.43016052246094,8.037457587163244,0.461662914146852,-85.79644702793173,-3.403744092634045
37,3.992785663783064,3.240442276000977,47.609901428222656,7.958905561656837,0.7523433877820871,-43.61711576443959,-3.966119897873773
2,4.905591931345681,3.6818083375692368,78.29739379882812,9.341054894389613,1.223783593776444,-73.39180186748244,-4.435462963043932
40,3.8834145734249295,2.651567757129669,77.36923217773438,5.655876239292704,1.2318468162952603,-73.48581760430945,-1.7724616658677745
23,5.461254167498741,3.6609098315238953,85.31572723388672,6.972560723301779,1.800344335974846,-79.85447306638798,-1.5113065558030376
7,4.988893403890234,3.101353161036968,78.37377166748047,5.55272104752285,1.8875402428532664,-73.38487826359024,-0.5638276436326155
12,5.230068487140395,3.2043740153312683,93.9837646484375,7.104217790826197,2.0256944718091265,-88.7536961612971,-1.874149303685802
35,5.129391968884654,3.089856542646885,96.66015625,6.3878604253495705,2.0395354262377694,-91.53076428111535,-1.2584684564649162
0,4.884024141981867,2.822178229689598,78.682373046875,5.540004322822891,2.061845912292269,-73.79834890489313,-0.6559801808410235
15,5.750959784742895,3.6842480301857,81.93362426757812,6.498266141060998,2.0667117545571947,-76.18266448283524,-0.747306356318103
8,5.445435675052173,3.2746363431215286,94.94973754882812,5.654113740586862,2.1707993319306444,-89.50430187377596,-0.2086780655346887
9,4.72755340952102,2.319125086069107,67.10092163085938,3.914978361305781,2.408428323451913,-62.37336822133835,0.8125750482152392
44,4.777439450063555,2.3624764755368237,54.68987655639648,4.683069876791054,2.414962974526731,-49.91243710633292,0.09436957327250095
32,5.172934691165311,2.7394121512770653,62.79784393310547,5.347982160601605,2.433522539888246,-57.62490924194016,-0.17504746943629357
4,5.214618896424879,2.7447229251265526,74.13835906982422,5.771898431268255,2.4698959712983264,-68.92374017339934,-0.5572795348433761
26,5.291165161903343,2.50944159924984,77.81314849853516,4.969831706252142,2.781723562653503,-72.52198333663182,0.3213334556512004
27,5.350521778274339,2.4473730474710464,68.8699951171875,4.144998308303878,2.9031487308032924,-63.51947333891316,1.2055234699704611
11,5.432466217286718,2.513377740979194,79.25736999511719,4.917714422417767,2.919088476307524,-73.82490377783047,0.5147517948689515
24,5.378982407239337,2.441278286278248,51.20229721069336,4.960005128558383,2.9377041209610892,-45.823314803454025,0.4189772786809538
39,6.090881706638712,3.124832920730114,61.08495330810547,5.652494286798167,2.9660487859085984,-54.99407160146676,0.4383874198405451
5,6.170696271984203,3.1737349927425385,86.64593505859375,6.306671675201477,2.9969612792416642,-80.47523878660955,-0.13597540321727397
18,5.835935106052849,2.7851780876517296,51.01539993286133,5.085102779335133,3.0507570184011197,-45.17946482680848,0.7508323267177159
43,5.915546490698009,2.810542471706867,104.61300659179688,5.546812353976896,3.105004018991142,-98.69746010109887,0.36873413672111344
16,5.570985705542797,2.4282902479171757,101.12733459472656,4.48211270569605,3.142695457625621,-95.55634888918377,1.088872999846747
33,6.838214122163563,3.651438280940056,53.72148895263672,7.568715997027555,3.1867758412235068,-46.883274830473155,-0.7305018748639922
36,5.709912030422903,2.4960441514849663,97.45868682861328,4.2016455680580815,3.213867878937937,-91.74877479819038,1.5082664623648219
21,6.138855506795816,2.877712994813919,73.94877624511719,5.214402780607774,3.2611425119818973,-67.80992073832137,0.9244527261880426
42,6.140711210844234,2.6461979374289517,55.31956481933594,5.276267960665514,3.4945132734152824,-49.17885360849171,0.86444325017872
19,6.101675600910262,2.550632692873478,65.641357421875,4.918924786996096,3.5510429080367842,-59.53968182096474,1.1827508139141658
20,6.384326355012695,2.6034509763121605,66.15238189697266,4.502477203956276,3.780875378700535,-59.76805554195996,1.8818491510564197
28,6.22232501772195,2.4363089352846146,79.24656677246094,4.090548006108722,3.7860160824373352,-73.024241754739,2.131777011613228
25,6.31252644924901,2.466272935271263,72.40855407714844,4.387439204343433,3.8462535139777465,-66.09602762789943,1.9250872449055763
41,6.12746557695826,2.2369220852851868,45.7557373046875,3.941353848575861,3.890543491673073,-39.62827172772924,2.1861117283823988
17,6.69882704723381,2.71995160728693,87.00988006591797,4.207807947708138,3.97887543994688,-80.31105301868416,2.4910190995256727
6,6.714545539035478,2.6561979204416275,71.34024810791016,3.9596019488353096,4.05834761859385,-64.62570256887467,2.754943590200168
29,6.369684724368852,2.2525448352098465,66.2108154296875,3.894039915789402,4.117139889159006,-59.84113070531865,2.4756448085794505
31,7.311323821485465,3.1367402523756027,53.47188186645508,5.783126001219307,4.1745835691098625,-46.16055804496961,1.5281978202661586
1,6.65492433905837,2.4744702503085136,89.47105407714844,3.789636627809683,4.1804540887498565,-82.81612973809007,2.865287711248687
38,7.114527252699304,2.848746813833713,73.65721130371094,5.2746053371511925,4.26578043886559,-66.54268405101163,1.8399219155481115
34,7.092829389893623,2.7558621019124985,68.75262451171875,4.815738828544855,4.336967287981125,-61.65979512182513,2.2770905613487686
22,6.628474994737045,2.2690221667289734,76.03643798828125,3.910589626144037,4.359452828008072,-69.4079629935442,2.7178853685930084
10,7.967241869586823,3.50525714457035,66.80638885498047,6.931745491875257,4.461984725016473,-58.83914698539365,1.0354963777115653
14,7.474481662263751,2.655414119362831,102.16411590576172,4.522718805468991,4.81906754290092,-94.68963424349796,2.95176285679476
30,7.855553365587277,2.8955159708857536,108.70213317871094,4.759132629295737,4.960037394701524,-100.84657981312365,3.09642073629154
13,11.138854142182522,3.976379334926605,109.625,6.157583058912654,7.162474807255917,-98.48614585781748,4.981271083269868
