Station,TCN,AGCRN,CLCRN,GWN,TCN-AGCRN,TCN-CLCRN,TCN-GWN
44,0.0238528379429294,0.0002558315,0.0727904587984085,0.0008748480240632,0.023597006442929398,-0.04893762085547909,0.0229779899188662
4,0.0246474907671376,0.00036319476,0.1084689497947692,0.0011886403205059,0.0242842960071376,-0.0838214590276316,0.0234588504466317
40,0.0257870870293945,0.00038833194,0.1269982755184173,0.0012474562130924,0.0253987550893945,-0.1012111884890228,0.024539630816302102
19,0.0266642057221834,0.00030907206,0.1047235205769538,0.0008942402664369,0.0263551336621834,-0.07805931485477041,0.0257699654557465
12,0.027319932548212,0.00040450794,0.1557913422584533,0.0013646412523725,0.026915424608212002,-0.12847140971024132,0.0259552912958395
24,0.0273131807119603,0.00029693884,0.0660050809383392,0.0009785212386529,0.0270162418719603,-0.0386919002263789,0.0263346594733074
26,0.0274234936784214,0.00031962842,0.1160807535052299,0.0010205443341336,0.0271038652584214,-0.0886572598268085,0.026402949344287798
37,0.0276862109821106,0.0005678926,0.0944893807172775,0.0025490481704235,0.0271183183821106,-0.0668031697351669,0.0251371628116871
7,0.0276687592564688,0.0004382259,0.1832586824893951,0.0010611539903821,0.0272305333564688,-0.1555899232329263,0.026607605266086697
42,0.0285122161884239,0.00037901555,0.1069150567054748,0.0012582810266002,0.0281332006384239,-0.0784028405170509,0.0272539351618237
0,0.0289504669767404,0.0003866976,0.1956172734498977,0.001413788078059,0.028563769376740402,-0.16666680647315732,0.027536678898681402
16,0.0288431758641974,0.00024808376,0.2983427047729492,0.0008175965398168,0.0285950921041974,-0.26949952890875184,0.0280255793243806
6,0.0289550482120338,0.00032391,0.1602076888084411,0.0006985570779335,0.0286311382120338,-0.13125264059640732,0.028256491134100302
20,0.0290008458614557,0.00032692697,0.1596015393733978,0.0008616629194829,0.0286739188914557,-0.1306006935119421,0.0281391829419728
35,0.0290701682503258,0.0003900682,0.2796382009983063,0.0014895285922691,0.0286801000503258,-0.25056803274798045,0.0275806396580567
43,0.0291381812828987,0.00034741114,0.2348069250583648,0.0011242978741307,0.0287907701428987,-0.20566874377546612,0.028013883408768002
36,0.0293136116327541,0.00031841212,0.1894355714321136,0.0007110033764344,0.0289951995127541,-0.1601219597993595,0.0286026082563197
41,0.0294227990247102,0.0003739044,0.055925965309143,0.0009603445840802,0.0290488946247102,-0.0265031662844328,0.02846245444063
9,0.0293991364111429,0.00028277916,0.1689568608999252,0.0008285637761146,0.0291163572511429,-0.13955772448878231,0.0285705726350283
2,0.0296600452383949,0.00051455345,0.1421828418970108,0.0022652853891346,0.0291454917883949,-0.1125227966586159,0.0273947598492603
32,0.0296897246636757,0.00046103657,0.1107673048973083,0.001130093688485,0.0292286880936757,-0.0810775802336326,0.028559630975190698
