StationNum,MSE
0,0.00026796407200377505
1,9.976042331269746e-05
2,0.0011180604690848063
3,0.003251956192591922
4,0.00014006540519097854
5,0.0005275357841140792
6,0.00013674557660561793
7,0.0004226783135172976
8,0.0010389537927530687
9,0.000897221342854306
10,8.244292453484138e-05
11,0.0002337614395848561
12,0.00010852796559373884
13,0.00021847460363329097
14,0.0002027932926046852
15,0.00042523710554759624
16,0.00018038371105402536
17,9.96466238377924e-05
18,0.0002031222065983678
19,0.00025828170629842547
20,0.00013483466427457495
21,0.00014777650016029704
22,0.00013457535796889105
23,0.0038186601208848626
24,0.0002192008116029485
25,0.00037555317597626697
26,7.857875773128488e-05
27,0.00031736776959590695
28,0.00022508464216752384
29,0.00022367540177858472
30,0.00012401257090294534
31,0.0001289456397220592
32,0.00019128328128849046
33,0.00020925938860151395
34,0.0006264726877156396
35,0.000305007374305745
36,0.00012758290075309573
37,0.0002628703073338403
38,0.00023211996010873243
39,0.0021362241092591177
40,0.00012935243333375395
41,0.0001706372959939039
42,0.00024000422200579782
43,0.0002338835776946056
44,0.0001953118222908571
Average,0.00046448639388372903
