StationNum,SMAPE
0,7.643442015526518
1,5.880711292689925
2,10.83647717511396
3,9.29992141189056
4,8.349425274116316
5,9.342970590167353
6,5.529316920406268
7,7.443505942442162
8,8.308784567286983
9,5.796337162683735
10,9.139477456818575
11,7.510233961078072
12,9.114256679284626
13,9.091378435583595
14,5.972418106543441
15,9.197035727564884
16,6.637432489178839
17,6.134167462796681
18,7.029476416865675
19,7.305763937777539
20,6.580873606639129
21,7.576850900972261
22,7.042238606972042
23,8.635141356071543
24,6.841123573746182
25,6.547607907486601
26,7.72581965946326
27,5.961571603943572
28,5.502166288270286
29,5.68246274372849
30,6.503966705191716
31,8.149839259881945
32,7.833154175602548
33,10.899981668142715
34,6.729758417294511
35,8.120583753732296
36,8.257290265213262
37,10.174366554967492
38,7.065836087087948
39,8.75839292079731
40,7.7976434608917735
41,8.282405065693368
42,7.665418943361085
43,7.416533953954333
44,7.156410416591047
Average,7.654888242700266
