StationNum,MSE
0,0.0014137880780590271
1,0.0007129137871468761
2,0.0022652853891346257
3,0.0016708952509079035
4,0.0011886403205059858
5,0.0013172342570148654
6,0.0006985570779335922
7,0.0010611539903821808
8,0.0013000912638230994
9,0.0008285637761146128
10,0.0013259240429072886
11,0.0011225328373698003
12,0.0013646412523725957
13,0.0016444465134601981
14,0.0008834100225216875
15,0.0015233365464166395
16,0.0008175965398168264
17,0.0008403334040037405
18,0.0010705988789942392
19,0.000894240266436953
20,0.0008616629194829039
21,0.001141327226591486
22,0.0007069839455562389
23,0.0014230017997843146
24,0.0009785212386529052
25,0.0008949895587575923
26,0.0010205443341336528
27,0.0008610569315699
28,0.0008008826976756978
29,0.0007662396278744899
30,0.0010534418557706867
31,0.0013558456967134194
32,0.0011300936884850584
33,0.002103320546955044
34,0.0009462808838305437
35,0.001489528592269151
36,0.0007110033764344912
37,0.002549048170423543
38,0.001316473839248442
39,0.0014493897815907534
40,0.0012474562130924526
41,0.0009603445840802301
42,0.0012582810266002621
43,0.0011242978741307248
44,0.0008748480240632619
Average,0.0011770899539799314
