StationNum,RMSE
0,0.037600373376590654
1,0.02670044544847288
2,0.04759501433064839
3,0.04087658560726304
4,0.03447666341898511
5,0.03629372200553238
6,0.026430230379881146
7,0.032575358637813655
8,0.036056778333942975
9,0.028784783760080826
10,0.03641323993971545
11,0.033504221187333996
12,0.03694105104585677
13,0.0405517757127872
14,0.02972221429371788
15,0.039029944227690606
16,0.028593645094965182
17,0.028988504687267685
18,0.0327200073195933
19,0.029903850361399167
20,0.029354095446511443
21,0.033783534844528715
22,0.026589169704152833
23,0.037722696083184654
24,0.03128132411923935
25,0.029916376096673077
26,0.03194595959012114
27,0.029343771597562233
28,0.028299870983375486
29,0.027681033721205027
30,0.03245676902851987
31,0.0368218100684013
32,0.03361686613123029
33,0.04586197277652853
34,0.03076167882009276
35,0.038594411412394294
36,0.02666464656496484
37,0.05048809929501746
38,0.036283244607510534
39,0.03807085212588173
40,0.03531934615890352
41,0.030989426972440618
42,0.03547225713991516
43,0.03353055135440998
44,0.029577829941753026
Average,0.034308744570151956
