StationNum,SMAPE
0,5.540004322822891
1,3.789636627809683
2,9.341054894389613
3,8.037457587163244
4,5.771898431268255
5,6.306671675201477
6,3.9596019488353096
7,5.55272104752285
8,5.654113740586862
9,3.9149783613057814
10,6.931745491875257
11,4.917714422417767
12,7.104217790826197
13,6.157583058912654
14,4.522718805468991
15,6.498266141060998
16,4.48211270569605
17,4.207807947708138
18,5.085102779335133
19,4.918924786996096
20,4.502477203956276
21,5.214402780607774
22,3.9105896261440365
23,6.972560723301779
24,4.960005128558383
25,4.387439204343433
26,4.969831706252142
27,4.144998308303878
28,4.090548006108722
29,3.894039915789402
30,4.759132629295737
31,5.783126001219307
32,5.347982160601605
33,7.568715997027555
34,4.815738828544855
35,6.3878604253495705
36,4.2016455680580815
37,7.958905561656837
38,5.2746053371511925
39,5.652494286798167
40,5.655876239292704
41,3.9413538485758606
42,5.276267960665514
43,5.546812353976896
44,4.683069876791054
Average,5.390995827679425
